Pairs,Percentage,Outcome,Class
ASDS,52.22222222222223,Success,1
RTLS,16.666666666666664,Success,1
Ocean,7.777777777777778,Success,1
ASDS,47.77777777777778,Failure,1
RTLS,83.33333333333334,Failure,1
Ocean,92.22222222222223,Failure,1
